source,target,value
1309.5885,1106.6024,0.5
1309.5885,1212.0873,0.5
1309.5885,1305.2581,0.5
1309.5885,1308.6774,0.5
1309.5885,1304.553,0.5
1412.7449,1409.0473,0.5
1412.7449,1410.8206,0.5
1412.7449,1412.2007,0.5
1412.7449,1301.3781,0.5
1412.7449,1308.085,0.5
1412.7449,1412.1602,0.5
1412.7449,1411.4555,0.5
1409.2329,1311.0701,0.5
1409.2329,1406.1078,0.5
1409.2329,1308.085,0.5
1409.2329,1402.3511,0.5
1409.2329,1405.0312,0.5
1409.2329,1309.4168,0.5
1409.2329,1301.565,0.5
1409.2329,1312.6026,0.5
1409.2329,1312.4569,0.5
1409.2329,1409.4842,0.5
1409.2329,1411.4555,0.5
1412.7755,1312.6082,0.5
1412.7755,1406.2227,0.5
1412.7755,1406.6247,0.5
1412.7755,1411.4555,0.5
1603.05544,1401.2753,0.5
1603.05544,1603.0616,0.5
1603.05544,1611.04255,0.5
1706.00043,1603.04467,0.5
1706.00043,1511.06481,0.5
1706.00043,1412.698,0.5
1706.00043,1310.3438,0.5
1706.00043,1603.05544,0.5
1706.00043,1409.2329,0.5
1507.04296,1207.4708,0.5
1507.04296,1409.1556,0.5
1507.04296,1409.4842,0.5
1603.04467,1412.7755,0.5
1603.04467,1410.0759,0.5
1603.04467,1404.5997,0.5
1603.04467,1412.6564,0.5
1603.04467,1507.04296,0.5
1603.04467,1502.02072,0.5
1603.04467,1412.7449,0.5
1410.0759,1408.5093,0.5
1410.0759,1408.2873,0.5
1410.0759,1312.5851,0.5
1410.0759,1312.6229,0.5
1410.0759,1409.4842,0.5
1310.3438,1309.5885,0.5
1310.3438,1305.4723,0.5
1310.3438,1306.5918,0.5
1310.3438,1212.0873,0.5
1310.3438,1310.2059,0.5
1310.3438,1305.2581,0.5
1310.3438,1308.6774,0.5
1310.3438,1304.553,0.5
1304.553,1207.0775,0.5
1304.553,1208.3805,0.5
1304.553,1212.0873,0.5
1304.553,1005.2146,0.5
1310.2059,1309.5885,0.5
1310.2059,1305.4723,0.5
1310.2059,1212.0873,0.5
1310.2059,1305.2581,0.5
1310.2059,1308.6774,0.5
1310.2059,1304.553,0.5
1308.6774,1305.4723,0.5
1308.6774,1306.5918,0.5
1308.6774,1302.3074,0.5
1308.6774,1212.0873,0.5
1308.6774,1305.2581,0.5
1308.6774,1304.553,0.5
1305.2581,1110.4198,0.5
1305.2581,1204.3514,0.5
1305.2581,1106.4574,0.5
1305.2581,1202.6078,0.5
1305.2581,1202.6258,0.5
1305.2581,1006.499,0.5
1305.2581,1106.573,0.5
1305.2581,1212.0873,0.5
1502.02072,1406.1231,0.5
1502.02072,1409.4842,0.5
1502.02072,1409.4842,0.5
1404.5997,1312.6186,0.5
1404.5997,1312.5853,0.5
1412.6564,1412.3409,0.5
1412.6564,1409.1556,0.5
1412.6564,1409.4842,0.5
1401.2753,1109.5647,0.5
1401.2753,1211.2717,0.5
1401.2753,1310.5715,0.5
1401.2753,1403.4699,0.5
1401.2753,1305.1922,0.5
1603.0616,1410.0723,0.5
1603.0616,1407.271,0.5
1603.0616,1412.6058,0.5
1603.0616,1312.1666,0.5
1603.0616,1504.04407,0.5
1603.0616,1507.02,0.5
1603.0616,1309.2388,0.5
1603.0616,1409.2848,0.5
1603.0616,1507.08788,0.5
1306.5918,1208.3922,0.5
1306.5918,1310.6957,0.5
1212.0873,1309.5885,0.5
1212.0873,1107.2848,0.5
1212.0873,1310.2059,0.5
1212.0873,1310.3438,0.5
1212.0873,1304.553,0.5
